Ref,Val,Package,PosX,PosY,Rot,Side
"BT301","Battery_Cell","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",-28.557000,-60.525134,0.000000,bottom
"BT302","Battery_Cell","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",-43.198147,-60.525134,0.000000,bottom
"C301","22uF","C_0805_2012Metric",-45.133353,-51.470466,0.000000,bottom
"C401","10uF","C_0805_2012Metric",-19.565400,-51.609800,90.000000,bottom
"C706","22uF","C_0805_2012Metric",-30.700800,-49.359400,0.000000,bottom
"C707","22uF","C_0805_2012Metric",-30.690600,-47.124200,0.000000,bottom
"C708","1uF","C_0805_2012Metric",-30.690600,-44.914400,0.000000,bottom
"C801","120nF","C_0805_2012Metric",-32.746200,-15.646319,-90.000000,bottom
"C802","6.8nF","C_0805_2012Metric",-37.193000,-17.980200,-90.000000,bottom
"C803","0.1uF","C_0805_2012Metric",-35.110200,-17.980200,-90.000000,bottom
"C804","0.1uF","C_0805_2012Metric",-35.591000,-10.522800,180.000000,bottom
"C901","0.1uF","C_0805_2012Metric",-60.459400,-30.106200,0.000000,bottom
"C1001","1uF","C_0805_2012Metric",-49.689800,-33.941600,0.000000,bottom
"C1101","0.1uF","C_0805_2012Metric",-46.700050,-18.040400,90.000000,bottom
"C1102","10uF","C_0805_2012Metric",-48.833650,-18.040400,90.000000,bottom
"C1103","10nF","C_0805_2012Metric",-48.851600,-21.648000,-90.000000,bottom
"C1201","NC","C_0805_2012Metric",-49.664400,-38.869200,0.000000,bottom
"J502","Conn_01x03","Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical",-24.048147,-26.220134,90.000000,bottom
"J503","Conn_01x02","Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical",-19.160600,-24.979881,90.000000,bottom
"J504","Conn_01x02","Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical",-14.409200,-25.009881,90.000000,bottom
"Q203","BC847","SOT-23",-29.496800,-18.574600,-90.000000,bottom
"Q204","BC847","SOT-23",-41.050000,-51.550000,180.000000,bottom
"Q205","BC847","SOT-23",-26.321800,-37.396000,0.000000,bottom
"Q207","SI2305CDS-T1-BE3","SOT-23",-26.321800,-41.079000,180.000000,bottom
"Q302","BC847","SOT-23",-49.665900,-51.478400,0.000000,bottom
"Q1001","BC847","SOT-23",-55.354000,-29.369600,0.000000,bottom
"Q1202","BC857","SOT-23",-49.664400,-41.891800,0.000000,bottom
"Q1203","BC847","SOT-23",-54.160200,-45.651000,0.000000,bottom
"Q1206","BC847","SOT-23",-49.689800,-47.810000,0.000000,bottom
"R206","5k","R_0805_2012Metric",-29.496800,-15.475800,180.000000,bottom
"R207","100k","R_0805_2012Metric",-30.690600,-42.704600,0.000000,bottom
"R208","10k","R_0805_2012Metric",-41.307800,-44.228600,0.000000,bottom
"R209","10k","R_0805_2012Metric",-30.690600,-40.520200,0.000000,bottom
"R210","0R","R_1206_3216Metric",-17.355600,-45.066800,0.000000,bottom
"R216","12k","R_0805_2012Metric",-32.113000,-54.414000,90.000000,bottom
"R218","5k1","R_0805_2012Metric",-34.205053,-54.414000,-90.000000,bottom
"R301","10k","R_0805_2012Metric",-44.203400,-55.076300,-90.000000,bottom
"R302","220k","R_0805_2012Metric",-46.260800,-55.076300,-90.000000,bottom
"R401","PE1206FRE470R04L","R_1206_Current",-29.748147,-54.425134,90.000000,bottom
"R713","750R","R_0805_2012Metric",-44.127200,-65.056600,180.000000,bottom
"R801","10k","R_0805_2012Metric",-39.148800,-10.472000,180.000000,bottom
"R802","10k","R_0805_2012Metric",-32.771600,-12.166519,90.000000,bottom
"R1003","5k","R_0805_2012Metric",-51.188400,-30.106200,0.000000,bottom
"R1101","100R","R_0805_2012Metric",-40.324650,-18.015000,-90.000000,bottom
"R1102","20k","R_0805_2012Metric",-43.575850,-15.195600,0.000000,bottom
"R1103","100R","R_0805_2012Metric",-43.575850,-13.138200,0.000000,bottom
"R1201","10k","R_0805_2012Metric",-45.117800,-44.228600,180.000000,bottom
"R1202","100k","R_0805_2012Metric",-57.411400,-45.727200,90.000000,bottom
"R1203","15k","R_0805_2012Metric",-41.307800,-46.540000,180.000000,bottom
"R1204","100k","R_0805_2012Metric",-41.300000,-48.650000,180.000000,bottom
"R1206","100k","R_0805_2012Metric",-45.117800,-49.054600,0.000000,bottom
"R1207","100k","R_0805_2012Metric",-45.117800,-46.540000,0.000000,bottom
"R1208","100k","R_0805_2012Metric",-49.664400,-44.889000,0.000000,bottom
"R1209","100k","R_0805_2012Metric",-49.664400,-36.380000,180.000000,bottom
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",-73.250000,0.000000,180.000000,bottom
"SW202","PCM12SMTR","PCM12SMTR",-36.798147,-65.825134,180.000000,bottom
"SW1001","Cu_Conn-R_0805_2012Metric","Cu_Conn-R_0805_2012Metric",-55.344300,-49.600000,180.000000,bottom
"SW1002","Cu_Conn-R_0805_2012Metric","Cu_Conn-R_0805_2012Metric",-55.350000,-51.600000,180.000000,bottom
"TH301","NRBE104J3435B2J","Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical",-50.598147,-59.550134,-90.000000,bottom
"TH302","NRBE104J3435B2J","Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical",-24.035800,-59.350134,-90.000000,bottom
"U401","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",-24.448147,-53.175134,0.000000,bottom
"U601","TBS_UNIFY_PRO32_5G8_nano","TBS UNIFY PRO32 5G8 nano",-16.310200,-36.684800,0.000000,bottom
"U801","BNO055","LGA-28_5.2x3.8mm_P0.5mm",-36.873200,-13.887600,0.000000,bottom
"U901","SCD41","XDCR_SCD41-D-R2",-58.246747,-36.747053,180.000000,bottom
"U1101","MCP6486UT-E/OT","SOT-23-5",-43.499650,-18.005600,0.000000,bottom
"U1102","ME2-02","ME2-O2",-37.548600,-30.385600,180.000000,bottom
"AE1001","Antenna_Shield","U.FL_Hirose_U.FL-R-SMT-1_Vertical",56.471600,-50.753400,-90.000000,top
"BT1001","Backup battery","2989",51.340800,-23.349800,-90.000000,top
"C302","22uF","C_0805_2012Metric",49.659553,-51.470466,0.000000,top
"C701","0.1uF","C_0805_2012Metric",27.988000,-52.128000,0.000000,top
"C702","22uF","C_0805_2012Metric",27.226000,-41.891800,180.000000,top
"C703","4.7uF","C_0805_2012Metric",31.173200,-39.021600,0.000000,top
"C704","0.1uF","C_0805_2012Metric",32.199400,-55.404600,0.000000,top
"C705","1uF","C_0805_2012Metric",32.240000,-52.128000,0.000000,top
"C1002","0.1uF","C_0805_2012Metric",52.941000,-50.375400,90.000000,top
"C1202","10uF","C_0805_2012Metric",49.664400,-45.168400,0.000000,top
"C1203","22uF","C_0805_2012Metric",45.153400,-44.838200,0.000000,top
"C1204","22uF","C_0805_2012Metric",45.153400,-42.653800,0.000000,top
"D701","B330A","D_SMA",16.822200,-46.493881,-90.000000,top
"D702","APT2012LZGCK","LED_0805_2012Metric",40.190200,-65.056600,0.000000,top
"D703","APT2012LZGCK","LED_0805_2012Metric",40.190200,-62.796000,0.000000,top
"D704","APT2012LZGCK","LED_0805_2012Metric",40.164800,-60.535400,0.000000,top
"D705","APT2012LZGCK","LED_0805_2012Metric",40.164800,-58.300200,0.000000,top
"D706","APT2012LSECK/J3-PRV","LED_0805_2012Metric",29.954000,-62.796000,0.000000,top
"D1001","APT2012LSECK/J4-PRV","LED_0805_2012Metric",59.217750,-28.220000,0.000000,top
"J101","Conn_02x04_Female","PinSocket_2x04_P2.54mm_Vertical",23.360000,-18.770000,180.000000,top
"J102","Conn_02x02_Female","PinSocket_2x02_P2.54mm_Vertical",47.630000,-13.700000,180.000000,top
"J103","Conn_02x02_Female","PinSocket_2x02_P2.54mm_Vertical",60.790000,-48.260000,180.000000,top
"J104","Conn_02x02_Female","PinSocket_2x02_P2.54mm_Vertical",12.770000,-45.720000,0.000000,top
"J501","Conn_01x02","Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal",11.361200,-36.775134,-90.000000,top
"L701","SRP7050AA-2R2M","L_Bourns_SRP7050AA",22.511800,-47.683000,90.000000,top
"L1001","27nH","L_0805_2012Metric",55.125400,-46.082800,90.000000,top
"Q201","BC847","SOT-23",45.485500,-22.434600,90.000000,top
"Q202","BC847","SOT-23",41.612600,-22.562400,90.000000,top
"Q206","BC847","SOT-23",28.567200,-56.346700,90.000000,top
"Q208","BC857","SOT-23",22.687300,-56.583200,0.000000,top
"Q209","BC847","SOT-23",27.769600,-36.126000,0.000000,top
"Q210","BC847","SOT-23",25.280400,-32.570000,0.000000,top
"Q211","SI2305CDS-T1-BE3","SOT-23",27.226200,-24.184900,90.000000,top
"Q212","SI2305CDS-T1-BE3","SOT-23",19.006600,-40.748800,-90.000000,top
"Q301","BC847","SOT-23",45.153400,-51.473400,180.000000,top
"Q501","BC847","SOT-23",18.800859,-28.475240,180.000000,top
"Q1201","BC857","SOT-23",49.689800,-48.216400,0.000000,top
"Q1204","BC857","SOT-23",45.168600,-47.836550,0.000000,top
"Q1205","BC857","SOT-23",45.168600,-39.656600,0.000000,top
"R201","10k","R_0805_2012Metric",16.187200,-33.814600,90.000000,top
"R202","10k","R_0805_2012Metric",18.379200,-33.814600,90.000000,top
"R203","5k","R_0805_2012Metric",45.448000,-25.559600,0.000000,top
"R204","5k","R_0805_2012Metric",41.612600,-25.559600,180.000000,top
"R205","10k","R_0805_2012Metric",37.574000,-50.959600,180.000000,top
"R211","10k","R_0805_2012Metric",25.737600,-56.600300,-90.000000,top
"R212","100k","R_0805_2012Metric",31.071600,-36.102500,-90.000000,top
"R213","100k","R_0805_2012Metric",24.188200,-36.634000,90.000000,top
"R214","5k","R_0805_2012Metric",22.661900,-53.713000,180.000000,top
"R215","100k","R_0805_2012Metric",26.451200,-28.509900,90.000000,top
"R217","100k","R_0805_2012Metric",24.201200,-28.509900,-90.000000,top
"R219","100k","R_0805_2012Metric",30.512800,-24.217166,90.000000,top
"R220","10k","R_0805_2012Metric",33.002000,-24.217166,90.000000,top
"R221","100k","R_0805_2012Metric",16.187200,-40.723400,-90.000000,top
"R222","10k","R_0805_2012Metric",19.006600,-37.599200,0.000000,top
"R303","220k","R_0805_2012Metric",48.546800,-55.076300,-90.000000,top
"R304","10k","R_0805_2012Metric",50.604200,-55.076300,-90.000000,top
"R501","5k","R_0805_2012Metric",21.976200,-28.503059,-90.000000,top
"R701","10k","R_0805_2012Metric",37.548600,-45.219200,0.000000,top
"R702","82k","R_0805_2012Metric",41.968200,-45.953900,90.000000,top
"R703","820k","R_0805_2012Metric",41.968200,-50.224900,-90.000000,top
"R704","3k16","R_0805_2012Metric",24.188200,-40.850400,-90.000000,top
"R705","10k","R_0805_2012Metric",27.263500,-39.021600,180.000000,top
"R706","27k4","R_0805_2012Metric",39.733000,-41.891800,-90.000000,top
"R707","1k87","R_0805_2012Metric",37.447000,-41.891800,90.000000,top
"R708","5k11","R_0805_2012Metric",35.161000,-41.891800,90.000000,top
"R709","143k","R_0805_2012Metric",30.411200,-41.891800,90.000000,top
"R710","75k","R_0805_2012Metric",32.798800,-41.891800,90.000000,top
"R711","10k","R_0805_2012Metric",41.968200,-41.891800,90.000000,top
"R712","330R","R_0805_2012Metric",25.837300,-62.796000,180.000000,top
"R714","330R","R_0805_2012Metric",48.165800,-62.796000,180.000000,top
"R715","330R","R_0805_2012Metric",44.101800,-62.796000,180.000000,top
"R716","330R","R_0805_2012Metric",44.127200,-65.056600,180.000000,top
"R717","0R5","R_0805_2012Metric",44.101800,-58.274800,0.000000,top
"R1001","12R","R_0805_2012Metric",52.941000,-46.082800,90.000000,top
"R1002","750R","R_0805_2012Metric",55.382350,-28.220000,180.000000,top
"R1205","100k","R_0805_2012Metric",45.143200,-36.735600,180.000000,top
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",0.000000,0.000000,0.000000,top
"SW201","DS04-254-1-04BK-SMT","SW_DIP_SPSTx04_Slide_Omron_A6S-410x_W8.9mm_P2.54mm",36.753794,-14.993200,-90.000000,top
"SW203","LaskaKit tlačítko","Tlačítko SMD LaskaKit",11.795600,-29.384881,0.000000,top
"U201","PCA8574D","SO-16_5.3x10.2mm_P1.27mm",37.548600,-32.138200,0.000000,top
"U301","TS5A3159DBV","SOT-23-6",41.279747,-54.748934,90.000000,top
"U501","AD5246BKSZ100","SOT65P210X110-6N",11.640000,-24.700000,0.000000,top
"U701","TS5A3159DBV","SOT-23-6",37.574000,-48.089400,180.000000,top
"U702","MP2639AGR-Z","MP2639AGRZ",30.617400,-47.643481,0.000000,top
"U703","TS5A3159DBV","SOT-23-6",37.229747,-54.711434,90.000000,top
"U1001","NEO-M9N","ublox_NEO",56.573200,-36.735600,90.000000,top
